system:index,GID_0,GID_1,NAME_0,NAME_1,VARNAME_1,sum,.geo
0000708fc4d0657fb6bb,MWI,MWI.21_1,Malawi,Nsanje,Port Herald,324207.6980392157,
000033669f828a7bf9c7,MWI,MWI.15_1,Malawi,Mulanje,Mlange|Mlanje,685088.047058823,
0000551ee550eb66d14d,MWI,MWI.27_1,Malawi,Thyolo,Cholo,782150.5294117649,
0000b41f9419d57d9f6d,MWI,MWI.3_1,Malawi,Chikwawa,,571719.8039215686,
0000bbe189cb53053747,MWI,MWI.2_1,Malawi,Blantyre,,1324909.3882352943,
00009caa2b2dd294a9fb,MWI,MWI.4_1,Malawi,Chiradzulu,,386369.4705882349,
0000cce9b5f9f8acda73,MWI,MWI.28_1,Malawi,Zomba,,894115.3176470587,
00005f0f66be80370258,MWI,MWI.18_1,Malawi,Neno,,141986.09019607844,
00002f66a6f708ac6aaf,MWI,MWI.16_1,Malawi,Mwanza,,120520.72941176475,
000042c91e3399765cc0,MWI,MWI.1_1,Malawi,Balaka,,424705.443137255,
0000e420fcf656a56f60,MWI,MWI.22_1,Malawi,Ntcheu,Ncheu,612438.5098039211,
0000d11d61a952879bd1,MWI,MWI.12_1,Malawi,Machinga,Kasupe|Kasupi|Liwonde,651550.6039215687,
0000ecd3aa6eca2a5da3,MWI,MWI.24_1,Malawi,Phalombe,,411433.7411764707,
00004146ef2ba1a6e845,MWI,MWI.13_1,Malawi,Mangochi,Mangoche|Fort Johnston,1044930.9921568624,
000098bed71063ea15b8,MWI,MWI.6_1,Malawi,Dedza,,829158.988235294,
0000ef7f1453cbef9d16,MWI,MWI.26_1,Malawi,Salima,,455349.1803921571,
00001104aa1febc71333,MWI,MWI.20_1,Malawi,Nkhotakota,Kota Kota,410459.4156862743,
0000f38c27f2781dd849,MWI,MWI.10_1,Malawi,Likoma,,10895.129411764708,
00008d98321fac7d6dcf,MWI,MWI.19_1,Malawi,Nkhata Bay,Chinteche,293532.9215686276,
0000758fb1e2f48996b8,MWI,MWI.25_1,Malawi,Rumphi,Rumpi,227399.41176470587,
0000e37fd7379e45beaa,MWI,MWI.8_1,Malawi,Karonga,,363444.1529411763,
0000c76939d70f911562,MWI,MWI.5_1,Malawi,Chitipa,,245036.3098039217,
0000145c09eca9c0a238,MWI,MWI.17_1,Malawi,Mzimba,,1153405.5999999985,
0000b3c05fd6510b250f,MWI,MWI.14_1,Malawi,Mchinji,Fort Manning,596707.0666666668,
00007b9b0052d8a88398,MWI,MWI.9_1,Malawi,Kasungu,,831506.5686274515,
000079b1e3a786c27843,MWI,MWI.23_1,Malawi,Ntchisi,Nchisi,297856.9254901963,
000018ba8ffcf4b45315,MWI,MWI.7_1,Malawi,Dowa,,751744.3254901954,
00007fa24f9118843dc0,MWI,MWI.11_1,Malawi,Lilongwe,,2515990.4039215655,
