"node","tec","year_all","value","units"
"MOZ_1","MOZ_1|MOZ_1",2015,216,"MW"
"MOZ_3","MOZ_3|MOZ_3",2015,216,"MW"
"MOZ_4","MOZ_4|MOZ_4",2015,280,"MW"
"NAM_1","NAM_1|NAM_1",2015,320,"MW"
"ZMB_1","ZMB_1|ZMB_1",2015,1617,"MW"
"ZMB_1","ZMB_1|ZMB_1",2015,852,"MW"
"ZMB_2","ZMB_2|ZMB_2",2015,878,"MW"
"ZMB_2","ZMB_2|ZMB_2",2015,115,"MW"
"ZMB_2","ZMB_2|ZMB_2",2015,1120,"MW"
"ZMB_3","ZMB_3|ZMB_3",2015,294,"MW"
"ZMB_3","ZMB_3|ZMB_3",2015,1742,"MW"
"ZMB_4","ZMB_4|ZMB_4",2015,115,"MW"
"ZMB_6","ZMB_6|ZMB_6",2015,14,"MW"
"ZWE_1","ZWE_1|ZWE_1",2015,1400,"MW"
